,Song,Artist,Label,Genre,BPM,BP Key,Release Date,Price,URL
0,Dress Code Extended Mix ,Mau P,Black Book Records,Tech House,128 BPM,Db Major,2023-10-06,€2.39,https://www.beatport.com/track/dress-code/18138836
1,Legacy Extended Mix ,"John Summit, VLTRA (IT)",Experts Only,Tech House,128 BPM,E Major,2023-09-29,€1.59,https://www.beatport.com/track/legacy/18145087
2,365 Original Mix ,"Camden Cox, Biscits",Insomniac Records,Tech House,127 BPM,D Minor,2023-09-15,€1.59,https://www.beatport.com/track/365/18025392
3,Losing Control Extended Mix ,"Odd Mob, OMNOM",Experts Only,Tech House,134 BPM,G Major,2023-09-15,€1.59,https://www.beatport.com/track/losing-control/18119105
4,Atmosphere Extended Mix ,"Kita Alexander, FISHER (OZ)",Catch & Release,Tech House,126 BPM,C Minor,2023-08-11,€2.39,https://www.beatport.com/track/atmosphere/18002517
5,Burnin' Original Mix ,"Martin Ikin, Noizu",Insomniac Records,Tech House,128 BPM,F Minor,2023-10-20,€1.59,https://www.beatport.com/track/burnin/18112177
6,La Gente Original Mix ,ESSED,Retail Records,Tech House,130 BPM,Gb Minor,2023-09-15,€1.59,https://www.beatport.com/track/la-gente/18044709
7,More Baby Extended Mix ,"Aluna, Chris Lake",Black Book Records,Tech House,126 BPM,E Major,2023-09-15,€2.39,https://www.beatport.com/track/more-baby/18094566
8,Up N' Down (feat. JmNPR) Extended Mix ,"Deeper Purpose, BRN, JmNPR",Catch & Release,Tech House,128 BPM,G Major,2023-09-29,€2.39,https://www.beatport.com/track/up-n-down-feat-jmnpr/18138798
9,Alegria Extended Mix ,Dave Winnel,TMRW Music,Tech House,128 BPM,G Minor,2023-06-22,€1.39,https://www.beatport.com/track/alegria/17728567
10,My Body Extended Mix ,Flashmob,Toolroom,Tech House,128 BPM,A Major,2023-10-20,€2.39,https://www.beatport.com/track/my-body/18188951
11,Lady (Hear Me Tonight) Extended Mix ,"Mark Knight, James Hurr",Toolroom,Tech House,125 BPM,A Minor,2023-08-18,€1.39,https://www.beatport.com/track/lady-hear-me-tonight/17983226
12,Disco 666 Extended Mix ,"Manuel De La Mare, Luigi Rocca",303Lovers,Tech House,125 BPM,F Minor,2023-09-29,€1.59,https://www.beatport.com/track/disco-666/18127784
13,Tell That Boy Extended ,Azzecca,Higher Ground,Tech House,128 BPM,G Major,2023-10-12,€1.59,https://www.beatport.com/track/tell-that-boy/18159547
14,Kyrenia Extended Mix ,Sllash & Doppe,Toolroom Trax,Tech House,125 BPM,B Major,2023-10-13,€1.59,https://www.beatport.com/track/kyrenia/18166514
15,Dive In (feat. Notelle) Extended Mix ,"Notelle, Westend",SPINNIN' RECORDS,Tech House,127 BPM,Ab Major,2023-09-29,€1.59,https://www.beatport.com/track/dive-in-feat-notelle/18134164
16,Perfect Original Mix ,TOBEHONEST,North of Neptune,Tech House,128 BPM,Eb Minor,2023-10-13,€1.59,https://www.beatport.com/track/perfect/18159533
17,The Underground (House of God) Steve Angello Extended Edit ,"Steve Angello, Roland Clark, Hiisak, Corey James",SIZE Records,Tech House,127 BPM,F Major,2023-10-13,€2.39,https://www.beatport.com/track/the-underground-house-of-god/18094124
18,Clap Clap Original Mix ,"Dave Delly, Draxx (ITA), Steven Gray",Hellbent Records,Tech House,128 BPM,F Minor,2023-10-20,€2.39,https://www.beatport.com/track/clap-clap/18162901
19,Satisfy Original Mix ,Max Styler,Insomniac Records,Tech House,130 BPM,F Major,2023-10-13,€1.59,https://www.beatport.com/track/satisfy/18114215
20,Eat Your Man (with Nelly Furtado) Extended ,"Nelly Furtado, Dom Dolla",Three Six Zero Recordings,Tech House,125 BPM,Eb Major,2023-06-02,€1.39,https://www.beatport.com/track/eat-your-man-with-nelly-furtado/17731573
21,Tempo feat. Dope Earth Alien Extended Mix ,"OFFAIAH, Dope Earth Alien",DFTD,Tech House,125 BPM,F Minor,2023-10-20,€1.59,https://www.beatport.com/track/tempo-feat-dope-earth-alien/18204240
22,Rhyme Dust Extended ,"MK, Dom Dolla",Columbia (Sony),Tech House,128 BPM,G Major,2023-02-24,€2.39,https://www.beatport.com/track/rhyme-dust/17394999
23,Dalecon Original Mix ,Lowderz,Nervous Records,Tech House,130 BPM,G Major,2023-10-20,€1.59,https://www.beatport.com/track/dalecon/18208341
24,Diamond Therapy Extended ,"Diplo, Walker & Royce, Channel Tres",Higher Ground,Tech House,127 BPM,E Major,2023-09-15,€1.59,https://www.beatport.com/track/diamond-therapy/18101353
25,Pompi Extended Mix ,"El Chuape, Hugel, GSPR",SPINNIN' RECORDS,Tech House,128 BPM,Db Major,2023-10-20,€1.59,https://www.beatport.com/track/pompi/18270241
26,One Pill Original Mix ,VNSSA,DIRTYBIRD,Tech House,130 BPM,Gb Minor,2023-09-22,€1.59,https://www.beatport.com/track/one-pill/18139245
27,The Loop Extended Mix ,"Crusy, Alex Now (ES)",Nothing Else Matters,Tech House,126 BPM,Ab Minor,2023-09-22,€1.59,https://www.beatport.com/track/the-loop/18094043
28,Vogue Extended Mix ,Noizu,Techne,Tech House,128 BPM,Db Major,2023-09-08,€1.59,https://www.beatport.com/track/vogue/18047093
29,Number 1 Extended Mix ,"Major Lazer, James Hype",STEREOHYPE,Tech House,130 BPM,Db Minor,2023-07-21,€1.39,https://www.beatport.com/track/number-1/17888279
30,Back Once Again Original Mix ,HouseGoBoom,RIM,Tech House,128 BPM,B Major,2023-10-20,€2.39,https://www.beatport.com/track/back-once-again/18172989
31,Trust Issues Extended Mix ,Tita Lau,DFTD,Tech House,130 BPM,F Major,2023-10-13,€1.59,https://www.beatport.com/track/trust-issues/18189034
32,Easy On Extended Version ,CVMPANILE,Moon Harbour Recordings,Tech House,128 BPM,E Minor,2023-10-19,€1.59,https://www.beatport.com/track/easy-on/18170516
33,Express Yourself Mochakk Remix ,"Diplo, Nicky Da B",Higher Ground,Tech House,128 BPM,Ab Major,2023-01-06,€1.39,https://www.beatport.com/track/express-yourself/17868916
34,Selecta Extended Mix ,Biscits,REALM Records,Tech House,128 BPM,Bb Minor,2023-10-27,€2.39,https://www.beatport.com/track/selecta/18192396
35,Work CVMPANILE & Draxx Extended Remix ,"Kevin McKay, Pupa Nas T, Denise Belfon",Glasgow Underground,Tech House,130 BPM,Ab Minor,2023-09-29,€1.59,https://www.beatport.com/track/work/18144344
36,The Creeps  (feat. Barry Drift)(Mike Kerrigan Remix) Mike Kerrigan Remix ,Claude VonStroke,DIRTYBIRD,Tech House,126 BPM,Gb Major,2023-10-20,€1.59,https://www.beatport.com/track/the-creeps-feat-barry-driftmike-kerrigan-remix/18216115
37,Different Side Original Mix ,"Audio Bullys, Michael Bibi, KinAhau",Solid Grooves Records,Tech House,128 BPM,C Major,2023-03-03,€1.39,https://www.beatport.com/track/different-side/17413515
38,New Gold (feat. Tame Impala and Bootie Brown) Dom Dolla Remix Extended ,"Bootie Brown, Tame Impala, Gorillaz",Parlophone UK,Tech House,127 BPM,E Minor,2022-11-18,€1.39,https://www.beatport.com/track/new-gold-feat-tame-impala-and-bootie-brown/17139538
39,Gimme That Bounce Original Mix ,Mau P,Insomniac Records,Tech House,126 BPM,Eb Major,2023-01-27,€1.39,https://www.beatport.com/track/gimme-that-bounce/17181705
40,Drugs From Amsterdam Original Mix ,Mau P,Repopulate Mars,Tech House,125 BPM,Eb Major,2022-08-19,€1.39,https://www.beatport.com/track/drugs-from-amsterdam/16771427
41,More Baby (VIP) Extended Mix ,"Aluna, Chris Lake",Black Book Records,Tech House,126 BPM,Db Minor,2023-09-15,€2.39,https://www.beatport.com/track/more-baby-vip/18094568
42,Beggin' Extended Mix ,"Aluna, Chris Lake",Black Book Records,Tech House,126 BPM,Eb Major,2023-04-21,€2.39,https://www.beatport.com/track/beggin/17598523
43,House Y'all Extended Mix ,Tony Romera,Toolroom,Tech House,128 BPM,Gb Minor,2023-09-22,€1.59,https://www.beatport.com/track/house-yall/18093954
44,Candy Extended Mix ,Torren Foot,Sweat It Out,Tech House,126 BPM,Gb Major,2023-08-18,€1.39,https://www.beatport.com/track/candy/17958427
45,Don't Stop The Music Original Mix ,AtcG,Black Lizard Records,Tech House,125 BPM,Gb Major,2023-06-23,€1.39,https://www.beatport.com/track/dont-stop-the-music/17817471
46,Push To Start (feat. No/Me) Original Mix ,"Westend, Noizu, No/Me",Insomniac Records,Tech House,128 BPM,Eb Minor,2023-02-24,€1.39,https://www.beatport.com/track/push-to-start-feat-nome/17375482
47,Frikitona Original Mix ,Andruss,Drop Low Records,Tech House,128 BPM,D Major,2023-07-14,€1.39,https://www.beatport.com/track/frikitona/17909388
48,Pega (feat. Fatboi) Extended Mix ,"Andruss, Hugel",Black Book Records,Tech House,128 BPM,E Minor,2023-08-18,€2.39,https://www.beatport.com/track/pega-feat-fatboi/17966928
49,Foguenta Original Mix ,"Draxx (ITA), Blow (ITA)",Hellbent Records,Tech House,130 BPM,Ab Minor,2023-10-20,€2.39,https://www.beatport.com/track/foguenta/18162907
50,Chakachaka Extended Mix ,"Damien N-Drix, Tom Enzy, Nfasis, Hugel",Cr2 Records,Tech House,124 BPM,Bb Minor,2023-09-29,€1.59,https://www.beatport.com/track/chakachaka/18085640
51,Rebel feat. SHELLS Extended Mix ,"SHELLS, Obskür",Defected,Tech House,130 BPM,E Minor,2023-10-18,€1.59,https://www.beatport.com/track/rebel-feat-shells/18202855
52,Energy Original Mix ,Dark Heart,Repopulate Mars,Tech House,126 BPM,C Minor,2023-10-20,€2.39,https://www.beatport.com/track/energy/18179211
53,The Function Extended Mix ,Ship Wrek,Armada Music,Tech House,127 BPM,Eb Minor,2023-10-13,€1.59,https://www.beatport.com/track/the-function/18170378
54,Veneno Extended Mix ,Alex Now (ES),Night Service Only (NSO),Tech House,127 BPM,Eb Major,2023-10-13,€1.59,https://www.beatport.com/track/veneno/18152942
55,Magalenha Extended Mix ,Joshwa,SPINNIN' DEEP,Tech House,128 BPM,A Minor,2023-01-27,€1.39,https://www.beatport.com/track/magalenha/17308560
56,Sapphire Extended Mix ,"Dantiez, The Saunderson Brothers",Toolroom Trax,Tech House,127 BPM,D Major,2023-10-20,€2.39,https://www.beatport.com/track/sapphire/18188757
57,Fine Night Original Mix ,Cloonee,Hellbent Records,Tech House,128 BPM,Gb Minor,2023-07-14,€2.39,https://www.beatport.com/track/fine-night/17920137
58,Yeah The Girls (feat. MERYLL) Extended Mix ,FISHER (OZ),Catch & Release,Tech House,126 BPM,Eb Minor,2022-09-02,€2.39,https://www.beatport.com/track/yeah-the-girls-feat-meryll/16812583
59,Tranquilao Original Mix ,Andruss,Hellbent Records,Tech House,130 BPM,F Minor,2023-09-15,€2.39,https://www.beatport.com/track/tranquilao/18085301
60,Do You Feel It Extended Mix ,Biscits,WRONG.,Tech House,128 BPM,F Major,2023-08-11,€2.39,https://www.beatport.com/track/do-you-feel-it/17952445
61,Boiling Room Extended Mix ,Tony Romera,COCO,Tech House,128 BPM,A Major,2023-10-27,€2.39,https://www.beatport.com/track/boiling-room/18229586
62,Don Julio Extended Mix ,Shaded (LA),Experts Only,Tech House,128 BPM,Gb Major,2023-10-13,€1.59,https://www.beatport.com/track/don-julio/18203529
63,Caroline Extended Mix ,"CID, Truth x Lies",Night Service Only (NSO),Tech House,126 BPM,E Minor,2023-06-23,€1.39,https://www.beatport.com/track/caroline/17797370
64,Restless Original Mix ,Goosey,Hottrax,Tech House,126 BPM,C Major,2023-10-20,€2.39,https://www.beatport.com/track/restless/18183381
65,Work It Extended Mix ,"Kid Enigma, Alaia & Gallo",Club Sweat,Tech House,128 BPM,Gb Major,2023-10-06,€1.59,https://www.beatport.com/track/work-it/18139830
66,Work Extended Mix ,"Kevin McKay, Pupa Nas T, Denise Belfon",Glasgow Underground,Tech House,128 BPM,Eb Minor,2022-12-02,€1.39,https://www.beatport.com/track/work/17111424
67,Foolish Games Original Mix ,RSquared,Knee Deep In Sound,Tech House,128 BPM,C Minor,2023-10-13,€1.59,https://www.beatport.com/track/foolish-games/18195737
68,Long Train Extended Mix ,Marc Ross,SOLOTOKO,Tech House,129 BPM,G Minor,2023-10-20,€2.39,https://www.beatport.com/track/long-train/18158740
69,Burning Woman Original Mix ,Kristin Velvet,Arms & Legs,Tech House,128 BPM,Ab Minor,2023-10-20,€1.59,https://www.beatport.com/track/burning-woman/18203944
70,La Fiesta Original Mix ,Bruno Furlan,Hot Creations,Tech House,129 BPM,A Minor,2023-10-27,€2.39,https://www.beatport.com/track/la-fiesta/18205679
71,Freak Original Mix ,"San Pacho, No Thanks",Terminal Underground,Tech House,126 BPM,F Major,2023-07-21,€1.39,https://www.beatport.com/track/freak/17879337
72,Fakez Original Mix ,Endor,Hottrax,Tech House,128 BPM,A Major,2023-09-22,€1.59,https://www.beatport.com/track/fakez/18095607
73,Speaker Freaker Extended Mix ,Max Styler,Rules Don't Apply,Tech House,128 BPM,E Major,2023-09-15,€1.59,https://www.beatport.com/track/speaker-freaker/18032595
74,Nasty Original Mix ,RSquared,Knee Deep In Sound,Tech House,128 BPM,D Major,2023-10-13,€1.59,https://www.beatport.com/track/nasty/18195736
75,Move Your Body Extended Mix ,"Marshall Jefferson, Solardo",Ultra,Tech House,125 BPM,E Minor,2019-10-18,€1.39,https://www.beatport.com/track/move-your-body/12635556
76,Isla Morada Leandro Da Silva Remix ,"Dean Walker, Pensión",Black Lizard Records,Tech House,128 BPM,G Minor,2023-10-13,€1.59,https://www.beatport.com/track/isla-morada/18198200
77,Opium Extended Mix ,Disaia,STEREOHYPE,Tech House,129 BPM,C Minor,2023-10-06,€1.59,https://www.beatport.com/track/opium/18106893
78,Voicemail Layton Giordani Remix ,"Green Velvet, Patrick Topping",Relief,Tech House,127 BPM,B Major,2023-07-14,€1.39,https://www.beatport.com/track/voicemail/17887832
79,PFW (Paris Fashion Week) Original Mix ,"The Martinez Brothers, Tommy Genesis",EMPIRE,Tech House,130 BPM,E Minor,2023-10-06,€1.59,https://www.beatport.com/track/pfw-paris-fashion-week/18159468
80,Lo Que Soy Original Mix ,"Wax Motif, KURA",Insomniac Records,Tech House,126 BPM,Bb Major,2023-07-07,€1.39,https://www.beatport.com/track/lo-que-soy/17862234
81,Sweat Extended Mix ,ESSEL,Toolroom,Tech House,127 BPM,Eb Minor,2023-04-21,€1.39,https://www.beatport.com/track/sweat/17572718
82,In The Yuma (feat. Aatig) Extended Mix ,"Chris Lake, Aatig",Black Book Records,Tech House,126 BPM,B Major,2022-11-11,€2.39,https://www.beatport.com/track/in-the-yuma-feat-aatig/16947146
83,Losing It Extended ,FISHER (OZ),Catch & Release,Tech House,125 BPM,G Major,2018-07-13,€2.39,https://www.beatport.com/track/losing-it/10766349
84,Stop Time Extended Mix ,"Elohim, Walker & Royce, Glass Petals",Rules Don't Apply,Tech House,128 BPM,F Minor,2023-07-21,€1.39,https://www.beatport.com/track/stop-time/17820291
85,Like That (Extended Mix) Original Mix ,BRN,TuneCore,Tech House,128 BPM,A Major,2023-08-18,€1.39,https://www.beatport.com/track/like-that-extended-mix/18034684
86,Lemon & Lime Extended Mix ,"Solardo, Mandalo",Sola,Tech House,128 BPM,B Major,2023-08-25,€1.39,https://www.beatport.com/track/lemon-lime/18033432
87,Maria Maria Extended Mix ,TECH IT DEEP,Ministry of Sound Recordings,Tech House,128 BPM,D Minor,2022-11-25,€1.39,https://www.beatport.com/track/maria-maria/17079974
88,"Tudo Bem, Tudo Bom Extended Mix ",Vintage Culture,Sub Cultured,Tech House,128 BPM,Db Minor,2023-08-18,€1.39,https://www.beatport.com/track/tudo-bem-tudo-bom/18006714
89,Dancing At The Disco Original Mix ,"J. Worra, Cherry Tooth",Insomniac Records,Tech House,130 BPM,F Minor,2023-09-08,€1.59,https://www.beatport.com/track/dancing-at-the-disco/18024682
90,Last Night Extended Mix ,Loofy,Nervous Records,Tech House,129 BPM,Eb Minor,2023-10-06,€1.59,https://www.beatport.com/track/last-night/18167947
91,Prendeh Original Mix ,Carlos Agraz,Clarisse Records,Tech House,126 BPM,Eb Major,2023-07-14,€1.39,https://www.beatport.com/track/prendeh/17886953
92,Taka Doom Original Mix ,Trace (UZ),Hellbent Records,Tech House,127 BPM,F Minor,2023-05-12,€2.39,https://www.beatport.com/track/taka-doom/17679724
93,Miracle Maker Extended Mix ,"Dom Dolla, Clementine Douglas",Three Six Zero Recordings,Tech House,128 BPM,Bb Major,2022-07-15,€1.39,https://www.beatport.com/track/miracle-maker/16686306
94,Mania Original Mix ,Italobros,elrow Music,Tech House,128 BPM,E Minor,2023-09-22,€1.59,https://www.beatport.com/track/mania/18156209
95,Snogo Extended Mix ,"Gabe, Marco Strous",Black Book Records,Tech House,132 BPM,Bb Major,2023-07-28,€2.39,https://www.beatport.com/track/snogo/17883759
96,Change Your Mind Extended Mix ,Piero Pirupa,Musical Freedom,Tech House,125 BPM,G Major,2023-10-27,€2.39,https://www.beatport.com/track/change-your-mind/18219749
97,The Creeps  (feat. Barry Drift) Original Mix ,Claude VonStroke,DIRTYBIRD,Tech House,126 BPM,Bb Minor,2023-10-20,€1.59,https://www.beatport.com/track/the-creeps-feat-barry-drift/18216108
98,Rizzla feat. Rema Mochakk Remix ,"The Martinez Brothers, Rema, GORDO (US)",Cuttin' Headz,Tech House,129 BPM,G Minor,2022-08-19,€1.39,https://www.beatport.com/track/rizzla-feat-rema/16818016
99,Raw Tony Romera Extended Mix ,"David Amo, Julio Navas, Gustavo Bravetti",Toolroom,Tech House,128 BPM,F Major,2022-08-05,€1.39,https://www.beatport.com/track/raw/16734702
